Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:07-00:00:02,10,1119,19462,20303,20,24832,7,226,53107,13826,65280,65535,255,65535,65364,255,65535,65535,255,0,0,0,65535,0,0,1808,0,255,255,65535,65535,0,0,0,0,0,0,0,56,3,44039
2019:02:07-00:00:07,10,53747,19462,20303,20,24832,7,226,53107,13826,65280,65535,255,65535,65364,255,65535,65535,255,0,0,0,65535,0,0,1808,0,255,255,65535,65535,0,0,0,0,0,0,0,56,3,44039
2019:02:07-00:00:13,10,63588,19462,20303,20,24832,7,226,53107,13826,65280,65535,255,65535,65364,255,65535,65535,255,0,0,0,65535,0,0,1808,0,255,255,65535,65535,0,0,0,0,0,0,0,56,3,44039
2019:02:07-00:00:18,10,63588,3338,19462,79,5199,0,97,57863,53107,27137,65535,255,65535,65535,84,65535,65535,65535,255,0,0,0,65535,0,0,13,224,0,65535,65535,0,0,0,0,0,0,0,0,0,824
2019:02:07-00:00:23
2019:02:07-00:00:33,20,1889,29666,719,54,647,2,1,106,65535,65535,65535,84,65535,0,0,0,0,65535,0,0,1808,13,0,224,65535,65535,0,0,0,0,0,0,824,7,172,618,1812,10,13,56903
2019:02:07-00:00:38,20,1890,29667,719,54,647,2,1,106,65535,65535,65535,84,65535,0,0,0,0,65535,0,0,1808,13,0,224,65535,65535,0,0,0,0,0,0,824,7,172,618,1812,10,13,20931
2019:02:07-00:00:43,20,1890,29667,719,54,646,1,1,106,65535,65535,65535,84,65535,0,0,0,0,65535,0,0,1808,13,0,224,65535,65535,0,0,0,0,0,0,824,7,172,618,1812,10,13,30957
2019:02:07-00:00:48,20,1890,29667,719,54,646,1,1,105,65535,65535,65535,84,65535,0,0,0,0,65535,0,0,1808,13,0,224,65535,65535,0,0,0,0,0,0,824,7,172,618,1812,10,13,30553
2019:02:07-00:00:53,20,1890,29667,719,54,646,1,1,106,65535,65535,65535,84,65535,0,0,0,0,65535,0,0,1808,13,0,224,65535,65535,0,0,0,0,0,0,824,7,172,618,1812,10,13,30957
2019:02:07-00:00:58,20,1890,29667,719,54,646,0,1,105,65535,65535,65535,84,65535,0,0,0,0,65535,0,0,1808,13,0,224,65535,65535,0,0,0,0,0,0,824,7,172,618,1812,10,13,35511
2019:02:07-00:01:04,20,1890,29667,719,54,646,0,1,106,65535,65535,65535,84,65535,0,0,0,0,65535,0,0,1808,13,0,224,65535,65535,0,0,0,0,0,0,824,7,172,618,1812,10,13,34051
2019:02:07-00:01:09,20,1890,29667,719,54,646,1,1,106,65535,65535,65535,84,65535,0,0,0,0,65535,0,0,1808,13,0,224,65535,65535,0,0,0,0,0,0,824,7,172,618,1812,10,13,30957
2019:02:07-00:01:14,20,1890,29667,719,54,646,0,1,106,65535,65535,65535,84,65535,0,0,0,0,65535,0,0,1808,13,0,224,65535,65535,0,0,0,0,0,0,824,7,172,618,1812,10,13,34051
2019:02:07-00:01:19,20,1890,29667,719,54,646,1,1,106,65535,65535,65535,84,65535,0,0,0,0,65535,0,0,1808,13,0,224,65535,65535,0,0,0,0,0,0,824,7,172,618,1812,10,13,30957
