Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:13-00:00:02,O,289,29825,716,58,655,2,2,120,65535,65535,65535,84,65535,0,0,0,13,9619,0,23,1831,79,58,282,65535,65535,0,0,0,0,0,0,825,3,192,618,1813,10,13,37314
2019:02:13-00:00:07,O,289,29825,716,58,655,1,2,120,65535,65535,65535,84,65535,0,0,0,13,9619,0,23,1831,79,58,282,65535,65535,0,0,0,0,0,0,825,3,192,618,1813,10,13,47073
2019:02:13-00:00:12,O,289,29825,716,58,655,0,2,120,65535,65535,65535,84,65535,0,0,0,13,9619,0,23,1831,79,58,282,65535,65535,0,0,0,0,0,0,825,3,192,618,1813,10,13,18959
2019:02:13-00:00:17,O,289,29825,716,58,655,1,2,120,65535,65535,65535,84,65535,0,0,0,13,9619,0,23,1831,79,58,282,65535,65535,0,0,0,0,0,0,825,3,192,618,1813,10,13,47073
2019:02:13-00:00:22,O,289,29825,716,58,655,1,2,106,65535,65535,65535,84,65535,0,0,0,13,9619,0,23,1831,79,58,282,65535,65535,0,0,0,0,0,0,825,3,192,618,1813,10,13,11161
2019:02:13-00:00:27,O,289,29825,716,58,654,3,2,144,65535,65535,65535,84,65535,0,0,0,13,9619,0,23,1831,79,58,282,65535,65535,0,0,0,0,0,0,825,3,192,618,1813,10,13,10966
2019:02:13-00:00:32,O,289,29825,716,58,654,4,2,155,65535,65535,65535,84,65535,0,0,0,13,9619,0,23,1831,79,58,282,65535,65535,0,0,0,0,0,0,825,3,192,618,1813,10,13,49258
2019:02:13-00:00:37,O,290,29824,715,58,654,4,2,151,65535,65535,65535,84,65535,0,0,0,13,9619,0,23,1831,79,58,282,65535,65535,0,0,0,0,0,0,825,3,192,618,1813,10,13,7601
2019:02:13-00:00:43,O,290,29824,715,58,654,3,2,150,65535,65535,65535,84,65535,0,0,0,13,9619,0,23,1831,79,58,282,65535,65535,0,0,0,0,0,0,825,3,192,618,1813,10,13,46725
2019:02:13-00:00:48,O,290,29824,715,58,655,2,2,123,65535,65535,65535,84,65535,0,0,0,13,9619,0,23,1831,79,58,282,65535,65535,0,0,0,0,0,0,825,3,192,618,1813,10,13,15709
