Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:14-00:00:01,o,20303,20,1729,128,54132,2,58,652,514,65535,65535,255,65535,65535,255,255,0,0,0,65535,0,23,1831,91,72,65535,255,255,255,0,0,0,0,0,0,825,49155,105,2,1813
2019:02:14-00:00:07,o,20303,20,1729,128,54132,2,58,652,516,65535,65535,255,65535,65535,255,255,0,0,0,65535,0,23,1831,91,72,65535,255,255,255,0,0,0,0,0,0,825,49155,105,2,1813
2019:02:14-00:00:12,°,20303,20,1729,128,54132,2,58,652,516,65535,65535,255,65535,65535,255,255,0,0,0,65535,0,23,1831,91,72,65535,255,255,255,0,0,0,0,0,0,825,49155,105,2,1813
2019:02:14-00:00:17,•,20303,20,1729,128,54132,2,58,652,518,65535,65535,255,65535,65535,255,255,0,0,0,65535,0,23,1831,91,72,65535,255,255,255,0,0,0,0,0,0,825,49155,105,2,1813
2019:02:14-00:00:22,,20303,20,1729,128,54132,2,58,651,516,65535,65535,255,65535,65535,255,255,0,0,0,65535,0,23,1831,91,72,65535,255,255,255,0,0,0,0,0,0,825,49155,105,2,1813
2019:02:14-00:00:27,ì,19462,20303,20,193,32774,116,211,14850,651,65535,65535,255,65535,65535,255,65535,255,0,0,0,65535,0,23,1831,91,296,255,255,65535,255,0,0,0,0,0,0,825,3,192,617
2019:02:14-00:00:32,"",19462,20303,20,193,32774,116,211,14850,651,65535,65535,255,65535,65535,255,65535,255,0,0,0,65535,0,23,1831,91,296,255,255,65535,255,0,0,0,0,0,0,825,3,192,617
2019:02:14-00:00:37,"",3338,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:00:42,,13092,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:00:47,,63169,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:00:53,,47295,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:00:58,,29464,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:01:03,,29464,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:01:08,,31916,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:01:13,,52938,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:01:18,,54358,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:01:23,,62069,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:01:28,,59625,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:01:33,,4349,19462,20303,20,49664,6,128,53876,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,57,3,49155
2019:02:14-00:01:39,,13593,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:01:44,,21998,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:01:49,,42932,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:01:54,,64672,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:01:59,,47777,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:02:04,,33927,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:02:09,,19042,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:02:14,,37480,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:02:20,,3852,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:02:25,,3852,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:02:30,,3852,19462,20303,20,49920,6,129,53620,14850,65280,65535,255,65535,65362,255,65535,65535,255,0,0,0,65535,0,23,1831,72,255,255,65535,65535,0,0,0,0,0,0,0,56,3,19206
2019:02:14-00:02:35
2019:02:14-00:02:45,O,1732,29823,720,58,651,3,1,147,65535,65535,65535,82,65535,0,0,0,0,65535,0,23,1831,92,72,296,65535,65535,0,0,0,0,0,0,825,6,75,617,1813,10,13,55224
2019:02:14-00:02:50,O,1732,29823,720,58,651,2,1,148,65535,65535,65535,82,65535,0,0,0,0,65535,0,23,1831,92,72,296,65535,65535,0,0,0,0,0,0,825,6,75,617,1813,10,13,4018
2019:02:14-00:02:55,L,20,1732,29823,208,14850,138,2,257,148,65535,65535,255,21247,65535,0,0,0,0,65535,0,23,1831,92,72,296,65535,255,0,0,0,0,0,0,57,3,19206,617,21,7,3338
