Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:15-00:00:03,L,0,609,29850,224,14594,145,2,2,188,65535,65535,255,19455,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,255,0,0,0,0,0,0,56,3,11526,617,21,7,3338
2019:02:15-00:00:08,L,0,609,29850,224,14594,145,2,1,188,65535,65535,255,19455,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,255,0,0,0,0,0,0,56,3,11526,617,21,7,3338
2019:02:15-00:00:13,"",20303,0,609,154,57460,2,57,657,1,65535,65535,255,65535,65535,255,255,0,0,34,9875,0,57,1865,81,86,65535,255,255,255,0,0,0,0,0,0,824,11526,105,2,1813
2019:02:15-00:00:18,Ÿ,20303,0,609,154,57460,2,57,657,0,65535,65535,255,65535,65535,255,255,0,0,34,9875,0,57,1865,81,86,65535,255,255,255,0,0,0,0,0,0,824,11526,105,2,1813
2019:02:15-00:00:23,$,20303,0,609,154,57460,2,57,657,0,65535,65535,255,65535,65535,255,255,0,0,34,9875,0,57,1865,81,86,65535,255,255,255,0,0,0,0,0,0,824,11526,105,2,1813
2019:02:15-00:00:28
2019:02:15-00:00:39,O,610,29850,735,57,657,0,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,37720
2019:02:15-00:00:44,O,610,29850,735,57,657,0,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,37720
2019:02:15-00:00:49,O,610,29850,735,57,657,1,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,28342
2019:02:15-00:00:54,O,610,29850,735,57,657,2,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,18581
2019:02:15-00:00:59,O,610,29850,735,57,657,2,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,18581
2019:02:15-00:01:04,O,610,29850,735,57,657,1,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,28342
2019:02:15-00:01:09,O,610,29850,735,57,657,1,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,28342
2019:02:15-00:01:14,O,610,29850,735,57,656,1,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,25019
2019:02:15-00:01:20,O,610,29850,735,57,656,1,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,25019
2019:02:15-00:01:25,O,610,29850,735,57,657,0,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,37720
2019:02:15-00:01:30,O,610,29850,735,57,657,0,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,81,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,37720
2019:02:15-00:01:35,O,611,29850,735,57,656,0,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,82,86,310,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,2658
2019:02:15-00:01:40,O,611,29851,734,57,656,0,0,188,65535,65535,65535,75,65535,0,0,0,34,9875,0,57,1865,82,86,310,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,46250
