Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:11-00:00:01,20,2529,29822,703,57,632,1,1,128,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,38698
2019:02:11-00:00:06,20,2529,29822,703,57,632,1,1,128,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,38698
2019:02:11-00:00:11,20,2529,29822,703,57,632,0,1,128,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,27332
2019:02:11-00:00:16,20,2529,29822,703,57,632,0,1,128,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,27332
2019:02:11-00:00:22,20,2529,29822,703,57,632,0,1,128,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,27332
2019:02:11-00:00:27,20,2529,29822,703,57,632,0,1,128,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,27332
2019:02:11-00:00:32,20,2529,29822,703,57,632,1,1,128,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,38698
2019:02:11-00:00:37,20,2530,29823,702,57,632,1,1,128,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,30716
2019:02:11-00:00:42,20,2530,29823,702,57,632,2,1,109,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,10468
2019:02:11-00:00:47,20,2530,29823,702,57,632,1,1,109,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,3783
2019:02:11-00:00:52,20,2530,29823,702,57,632,2,1,109,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,10468
2019:02:11-00:00:57,20,2530,29823,702,57,632,1,1,109,65535,65535,65535,85,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,3783
2019:02:11-00:01:02,79,20,2530,29823,190,14594,120,2,258,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:11-00:01:08,79,20,2530,29823,190,14594,120,2,257,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:11-00:01:13,79,20,2530,29823,190,14594,120,2,257,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:11-00:01:18,79,20,2530,29823,190,14594,120,2,257,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:11-00:01:23,79,20,2530,29823,190,14594,120,2,257,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:11-00:01:28,79,20,2530,29823,190,14594,120,2,256,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:11-00:01:33,79,20,2530,29823,190,14594,120,2,256,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,49155,618,20,7,3338
2019:02:11-00:01:38,79,20,2531,29822,190,14594,120,2,256,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,19206,618,20,7,3338
2019:02:11-00:01:43,79,20,2531,29822,190,14594,120,2,256,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,19206,618,20,7,3338
2019:02:11-00:01:48,79,20,2531,29822,190,14594,120,2,256,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,19206,618,20,7,3338
2019:02:11-00:01:54,79,20,2531,29822,190,14594,119,2,256,107,65535,65535,255,22015,65535,0,0,0,10,9363,0,10,1818,66,33,257,65535,255,0,0,0,0,0,0,57,3,19206,618,20,7,3338
