Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:12-00:00:04
2019:02:12-00:00:14,20,1409,29777,723,57,649,0,0,109,65535,65535,65535,83,65535,0,0,0,0,65535,0,10,1818,95,45,269,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,42991
2019:02:12-00:00:19,20,1409,29777,723,57,649,1,0,109,65535,65535,65535,83,65535,0,0,0,0,65535,0,10,1818,95,45,269,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,23041
2019:02:12-00:00:25,20,1409,29777,723,57,649,1,0,109,65535,65535,65535,83,65535,0,0,0,0,65535,0,10,1818,95,45,269,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,23041
2019:02:12-00:00:30,20,1409,29777,723,57,649,0,0,109,65535,65535,65535,83,65535,0,0,0,0,65535,0,10,1818,95,45,269,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,42991
2019:02:12-00:00:35,20,1410,29778,723,57,649,0,1,109,65535,65535,65535,83,65535,0,0,0,0,65535,0,10,1818,95,45,269,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,5320
2019:02:12-00:00:40,20,1410,29778,723,57,649,0,1,109,65535,65535,65535,83,65535,0,0,0,0,65535,0,10,1818,95,45,269,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,5320
2019:02:12-00:00:45,20,1410,29778,723,57,649,0,1,109,65535,65535,65535,83,65535,0,0,0,0,65535,0,10,1818,95,45,269,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,5320
2019:02:12-00:00:50,20,1410,29778,723,57,649,0,1,109,65535,65535,65535,83,65535,0,0,0,0,65535,0,10,1818,95,45,269,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,5320
2019:02:12-00:00:55
