Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:17-00:00:01,O,929,29847,724,57,650,0,1,126,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,115,339,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,10799
2019:02:17-00:00:06,O,929,29847,724,57,650,0,1,126,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,115,339,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,10799
2019:02:17-00:00:11,O,929,29847,724,57,650,0,1,126,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,115,339,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,10799
2019:02:17-00:00:16,O,929,29847,724,57,650,0,1,126,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,115,339,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,10799
2019:02:17-00:00:21,O,929,29847,724,57,649,0,1,126,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,115,339,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,15160
2019:02:17-00:00:26,O,929,29847,724,57,649,0,1,126,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,115,339,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,15160
2019:02:17-00:00:31,O,929,29847,724,57,649,0,1,126,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,115,339,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,15160
2019:02:17-00:00:37,O,930,29848,723,57,649,0,0,126,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,115,339,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,53386
2019:02:17-00:00:42,O,930,29848,723,57,649,0,0,126,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,115,339,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,53386
2019:02:17-00:00:47,O,930,29848,723,57,649,0,0,126,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,115,339,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,53386
