Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:18-00:00:02,O,2369,29879,693,57,638,1,1,101,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,40,128,352,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,51940
2019:02:18-00:00:07,O,2369,29879,693,57,638,1,1,100,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,40,128,352,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,53368
2019:02:18-00:00:12,O,2369,29879,693,57,637,1,1,101,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,40,128,352,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,56307
2019:02:18-00:00:22
2019:02:18-00:00:32,O,2369,29879,693,57,637,0,1,101,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,40,128,352,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,9757
2019:02:18-00:00:37,O,2370,29876,692,57,637,0,1,100,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,40,128,352,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,54700
2019:02:18-00:00:43,O,2370,29876,692,57,637,1,1,101,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,40,128,352,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,13022
2019:02:18-00:00:48,O,2370,29876,692,57,637,1,1,100,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,40,128,352,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,10306
2019:02:18-00:00:53,O,2370,29876,692,57,637,0,1,101,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,40,128,352,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,53040
2019:02:18-00:00:58,O,2370,29876,692,57,637,1,1,100,65535,65535,65535,86,65535,0,0,0,0,65535,0,57,1865,40,128,352,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,10306
