Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:06-20:48:10
2019:02:06-20:48:21,196,1697,29599,844,46,724,4,3,78,65535,65535,65535,64,65535,0,16,156,0,65535,0,0,1808,0,0,224,65535,65535,0,0,0,0,0,0,824,0,193,618,1812,10,13,57541
2019:02:06-20:48:26,196,1697,29599,844,46,723,2,3,37,65535,65535,65535,63,65535,0,16,156,0,65535,0,0,1808,0,0,224,65535,65535,0,0,0,0,0,0,824,0,193,618,1812,10,13,50273
2019:02:06-20:48:31,196,1697,29599,844,46,723,2,3,53,65535,65535,65535,63,65535,0,16,156,0,65535,0,0,1808,0,0,224,65535,65535,0,0,0,0,0,0,824,0,193,618,1812,10,13,19761
2019:02:06-20:48:36,196,1698,29600,843,46,724,1,3,53,65535,65535,65535,63,65535,0,16,156,0,65535,0,0,1808,0,0,224,65535,65535,0,0,0,0,0,0,824,0,193,618,1812,10,13,18482
2019:02:06-20:48:41,196,1698,29600,843,46,724,3,3,42,65535,65535,65535,63,65535,0,16,156,0,65535,0,0,1808,0,0,224,65535,65535,0,0,0,0,0,0,824,0,193,618,1812,10,13,27627
2019:02:06-20:48:46
2019:02:06-20:48:57,196,1698,29600,843,46,723,6,3,151,65535,65535,65535,63,65535,0,16,160,0,65535,0,0,1808,0,0,224,65535,65535,0,0,0,0,0,0,824,0,193,618,1812,10,13,22327
2019:02:06-20:49:02,196,1698,29600,843,46,723,4,3,132,65535,65535,65535,63,65535,0,16,160,0,65535,0,0,1808,0,0,224,65535,65535,0,0,0,0,0,0,824,0,193,618,1812,10,13,2590
2019:02:06-20:49:07,196,1698,29600,843,46,723,2,3,142,65535,65535,65535,63,65535,0,16,160,0,65535,0,0,1808,0,0,224,65535,65535,0,0,0,0,0,0,824,0,193,618,1812,10,13,2000
2019:02:06-20:49:12,79,196,1698,29600,75,11779,211,2,770,122,65535,65535,255,16383,65535,0,4096,160,0,65535,0,0,1808,0,0,224,65535,255,0,0,0,0,0,0,56,3,49408,618,20,7,3338
2019:02:06-20:49:17,79,196,1698,29600,75,11779,210,2,769,122,65535,65535,255,16639,65535,0,4096,160,0,65535,0,0,1808,0,0,224,65535,255,0,0,0,0,0,0,56,3,49408,618,20,7,3338
2019:02:06-20:49:22,79,196,1698,29600,75,11779,210,2,773,31,65535,65535,255,16639,65535,0,4096,160,0,65535,0,0,1808,0,0,224,65535,255,0,0,0,0,0,0,56,3,49408,618,20,7,3338
2019:02:06-20:49:27,79,196,1698,29600,75,11779,211,2,772,55,65535,65535,255,16639,65535,0,4096,160,0,65535,0,0,1808,0,0,224,65535,255,0,0,0,0,0,0,56,3,49408,618,20,7,3338
2019:02:06-20:49:33,79,196,1698,29600,75,11779,211,2,770,78,65535,65535,255,16639,65535,0,4096,160,0,65535,0,0,1808,0,0,224,65535,255,0,0,0,0,0,0,56,3,49408,618,20,7,3338
2019:02:06-20:49:38,79,196,1699,29599,75,11779,210,2,771,36,65535,65535,255,16639,65535,0,4096,172,0,65535,0,0,1808,0,0,224,65535,255,0,0,0,0,0,0,56,3,49408,618,20,7,3338
2019:02:06-20:49:43,79,196,1699,29599,75,11779,210,2,771,339,65535,65535,255,16639,65535,0,4096,172,0,65535,0,0,1808,0,0,224,65535,255,0,0,0,0,0,0,56,3,49408,618,20,7,3338
