Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:08-00:00:01,20,769,29812,702,56,636,0,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,49119
2019:02:08-00:00:06,20,769,29812,702,56,637,0,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,45266
2019:02:08-00:00:11,20,769,29812,702,56,637,0,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,45266
2019:02:08-00:00:16,20,769,29812,702,56,636,0,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,49119
2019:02:08-00:00:21,20,769,29812,702,56,636,0,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,49119
2019:02:08-00:00:26,20,769,29812,702,56,637,1,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,19772
2019:02:08-00:00:31,20,769,29812,702,56,637,1,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,19772
2019:02:08-00:00:36,20,770,29811,702,56,636,0,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,2630
2019:02:08-00:00:42,20,770,29811,702,56,636,1,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,63400
2019:02:08-00:00:47,20,770,29811,702,56,636,1,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,63400
2019:02:08-00:00:52,20,770,29811,702,56,637,0,0,95,65535,65535,65535,83,65535,0,0,0,0,65535,0,0,1808,45,5,229,65535,65535,0,0,0,0,0,0,825,3,192,618,1812,10,13,1355
