Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2019:02:16-00:00:00,O,2049,29860,724,57,650,0,1,86,65535,65535,65535,80,65535,0,0,0,0,65535,0,57,1865,93,101,325,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,25391
2019:02:16-00:00:05,O,2049,29860,724,57,650,0,1,86,65535,65535,65535,80,65535,0,0,0,0,65535,0,57,1865,93,101,325,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,25391
2019:02:16-00:00:10,O,2049,29860,724,57,650,0,1,86,65535,65535,65535,80,65535,0,0,0,0,65535,0,57,1865,93,101,325,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,25391
2019:02:16-00:00:15,O,2049,29860,724,57,650,0,1,86,65535,65535,65535,80,65535,0,0,0,0,65535,0,57,1865,93,101,325,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,25391
2019:02:16-00:00:20,O,2049,29860,724,57,650,0,1,86,65535,65535,65535,80,65535,0,0,0,0,65535,0,57,1865,93,101,325,65535,65535,0,0,0,0,0,0,825,6,45,617,1813,10,13,25391
2019:02:16-00:00:25
2019:02:16-00:00:35,O,2050,29860,723,57,649,0,1,86,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,101,325,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,21079
2019:02:16-00:00:40,O,2050,29860,723,57,649,0,1,86,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,101,325,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,21079
2019:02:16-00:00:45,O,2050,29860,723,57,649,0,1,86,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,101,325,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,21079
2019:02:16-00:00:51,O,2050,29860,723,57,649,0,1,86,65535,65535,65535,81,65535,0,0,0,0,65535,0,57,1865,93,101,325,65535,65535,0,0,0,0,0,0,824,6,45,617,1813,10,13,21079
2019:02:16-00:00:56,L,20,2050,29860,211,14594,137,2,256,86,65535,65535,255,20991,65535,0,0,0,0,65535,0,57,1865,93,101,325,65535,255,0,0,0,0,0,0,56,3,11526,617,21,7,3338
